Date,Size,Food_Name,Calories,Carbohydrates,Fat,Protein,Sodium,Sugar
17/04/24,130.9 gr,"Padang - Gulai sapi cincang, 130.9 gr",143.0,4.0,6.0,17.0,295.0,2.0
17/04/24,0.4 container,"Sederhana - Nasi Padang, 0.4 container",266.0,28.0,6.0,2.0,0.0,0.0
17/04/24,1 piece,"Malay Style - Ayam Goreng, 1 piece",141.0,0.0,9.0,16.0,228.0,0.0
17/04/24,2 slices,"my roti - roti tawar, 2 slices",230.0,44.0,3.0,7.0,420.0,1.0
17/04/24,1 unit,"nuttela - selai coklat, 1 unit",80.0,9.0,5.0,1.0,0.0,0.0
18/04/24,200 g,"Fatsecret - Nasi Uduk, 200 g",326.0,41.0,16.0,5.0,396.0,2.0
18/04/24,40 gram,"Tempe Goreng - Tempe Goreng, 40 gram",90.0,5.0,6.0,8.0,111.0,0.0
18/04/24,60 gr,"Fatsecret - Tahu, 60 gr",47.0,1.0,3.0,5.0,0.0,0.0
18/04/24,1 Potong,"Generic - Bebek Goreng (Dada), 1 Potong (118 gr)",354.0,6.0,25.0,29.0,0.0,0.0
18/04/24,60 gram,"Ayam Goreng Sayap - Ayam Goreng Sayap, 60 gram",127.0,0.0,5.0,18.0,0.0,0.0
18/04/24,0.4 container,"Sederhana - Nasi Padang, 0.4 container",266.0,28.0,6.0,2.0,0.0,0.0
18/04/24,0.7 Potong,"Generic - Rendang, 0.7 Potong (84 gr)",113.0,5.0,5.0,13.0,0.0,0.0
18/04/24,55 gram,"Ayam kecap (PRF) - Paha bawah, 55 gram",110.0,2.0,5.0,15.0,0.0,0.0
18/04/24,310 ml,"Cap Panda - Cincau Selasih, 310 ml",100.0,25.0,0.0,0.0,25.0,25.0
18/04/24,39 gram,"dancow nestle - dancow fortigro coklat, 39 gram",160.0,23.0,6.0,5.0,0.0,18.0
19/04/24,135 g,"Mi Sedaap - Mi Goreng, 135 g",600.0,80.0,26.0,15.0,1620.0,5.0
19/04/24,252.5 gram,"nasi - nasi, 252.5 gram",250.0,51.0,8.0,13.0,0.0,0.0
19/04/24,96 g,"Ayam Goreng - Ayam Goreng, 96 g - 1 ketul",216.0,0.0,0.0,0.0,0.0,0.0
19/04/24,60 gram,"Tempe Goreng - Tempe Goreng, 60 gram",135.0,7.0,9.0,11.0,166.0,0.0
19/04/24,66 gram,"Rumahan - Tahu Goreng, 66 gram (potongan besar)",45.0,4.0,2.0,3.0,0.0,0.0
19/04/24,4 tablespoon,"Sambal Makan Enak Tenan - Sambal Bawang, 4 tablespoon",140.0,16.0,8.0,4.0,2160.0,8.0
19/04/24,250 gram,"Nasi - Nasi putih, 250 gram",375.0,100.0,1.0,8.0,0.0,0.0
19/04/24,80 g,"Homemade - Ayam Bakar, 80 g",134.0,0.0,5.0,20.0,60.0,0.0
19/04/24,2 pc,"Tempe - Tempe Bacem, 2 pc",156.0,2.0,10.0,16.0,0.0,0.0
19/04/24,50 gr,"Fishcake - Odeng, 50 gr",85.0,13.0,2.0,5.0,0.0,2.0
19/04/24,27 gram,"Dancow - Instant Dancow FortiGro, 27 gram",120.0,13.0,6.0,5.0,0.0,11.0
20/04/24,0.4 container,"Sederhana - Nasi Padang, 0.4 container",266.0,28.0,6.0,2.0,0.0,0.0
20/04/24,72 g,"Ayam Goreng - Ayam Goreng, 72 g - 1 ketul",162.0,0.0,0.0,0.0,0.0,0.0
20/04/24,39 gram,"dancow nestle - dancow fortigro coklat, 39 gram",160.0,23.0,6.0,5.0,0.0,18.0
21/04/24,0.4 container,"Sederhana - Nasi Padang, 0.4 container",266.0,28.0,6.0,2.0,0.0,0.0
21/04/24,50 gr,"Homemade - Perkedel Kentang, 50 gr (1 piece)",95.0,10.0,7.0,3.0,200.0,0.0
21/04/24,80 gram,"Ayam Goreng Dada - Ayam Goreng Dada, 80 gram",173.0,0.0,7.0,25.0,344.0,0.0
21/04/24,168 gram,"Nasi Pecel - Nasi Pecel, 168 gram",386.0,53.0,16.0,11.0,13.0,16.0
21/04/24,142.5 gram,"Ayam - Ayam Goreng Serundeng, 142.5 gram",330.0,94.0,202.0,276.0,0.0,0.0
21/04/24,142.5 gram,"Ayam - Ayam Goreng Serundeng, 142.5 gram",330.0,94.0,202.0,276.0,0.0,0.0
21/04/24,310 ml,"Cap Panda - Cincau Selasih, 310 ml",100.0,25.0,0.0,0.0,25.0,25.0
22/04/24,150 gr,"Fatsecret - Nasi Kuning, 150 gr",225.0,31.0,0.0,4.0,1304.0,1.0
22/04/24,60 gr,"Orek tempe - Orek tempe, 60 gr",105.0,9.0,5.0,8.0,125.0,3.0
22/04/24,0.5 units,"Super Bihun - Bihun Goreng, 0.5 units",90.0,18.0,2.0,2.0,0.0,0.0
22/04/24,1 Butir,"Generic - Telur Dadar, 1 Butir",154.0,1.0,9.0,11.0,155.0,0.0
22/04/24,250 gram,"Nasi - Nasi putih, 250 gram",375.0,100.0,1.0,8.0,0.0,0.0
22/04/24,80 Gram,"Ayam Panggang - Ayam Panggang, 80 Gram",134.0,1.0,5.0,20.0,60.0,1.0
22/04/24,25.5 g,"Homemade - Tempe Goreng, 25.5 g",58.0,3.0,4.0,3.0,71.0,0.0
22/04/24,2 Potong,"Generic - Tempe Mendoan, 2 Potong",120.0,8.0,8.0,7.0,140.0,0.0
22/04/24,1 Gelas,"Kapal Api Special - Kopi, 1 Gelas",30.0,4.0,1.0,1.0,0.0,0.0
22/04/24,27 gram,"Dancow - Instant Dancow FortiGro, 27 gram",120.0,13.0,6.0,5.0,0.0,11.0
23/04/24,1 pcs,"Sari roti - Sandwich, 1 pcs",280.0,0.0,10.0,0.0,0.0,0.0
23/04/24,150 gr,"Fatsecret - Nasi Kuning, 150 gr",225.0,31.0,0.0,4.0,1304.0,1.0
23/04/24,20 gram,"rendang gadih - ayam suwir, 20 gram",115.0,3.0,9.0,5.0,0.0,2.0
23/04/24,0.5 units,"Super Bihun - Bihun Goreng, 0.5 units",90.0,18.0,2.0,2.0,0.0,0.0
23/04/24,25.5 g,"Homemade - Tempe Goreng, 25.5 g",58.0,3.0,4.0,3.0,71.0,0.0
24/04/24,300 gram,"Nasi - Nasi putih, 300 gram",450.0,120.0,2.0,9.0,0.0,0.0
24/04/24,96 g,"Ayam Goreng - Ayam Goreng, 96 g - 1 ketul",216.0,0.0,0.0,0.0,0.0,0.0
24/04/24,68 g,"Homemade - Tempe Goreng, 68 g",154.0,8.0,10.0,9.0,189.0,0.0
24/04/24,110 gram,"Rumahan - Tahu Goreng, 110 gram (potongan besar)",75.0,7.0,3.0,5.0,0.0,0.0
24/04/24,60 gr,"Belmeat sosis - Sosis, 60 gr",130.0,3.0,10.0,9.0,0.0,0.0
25/04/24,0.4 container,"Sederhana - Nasi Padang, 0.4 container",266.0,28.0,6.0,2.0,0.0,0.0
25/04/24,0.7 potong,"Restoran Padang - Telur Dadar, 0.7 potong",305.0,0.0,18.0,5.0,0.0,0.0
25/04/24,84 g,"Ayam Goreng - Ayam Goreng, 84 g - 1 ketul",189.0,0.0,0.0,0.0,0.0,0.0
25/04/24,1 cup,"Matcha Late - Matcha, 1 cup",150.0,3.0,6.0,5.0,0.0,0.0
25/04/24,70 g,"Fatsecret - Kue Sus, 70 g",182.0,16.0,11.0,5.0,0.0,6.0
26/04/24,202 gram,"nasi - nasi, 202 gram",200.0,41.0,6.0,10.0,0.0,0.0
26/04/24,1 Porsi,"Generic - Nasi Ayam Geprek, 1 Porsi",789.0,2281.0,5397.0,32254.0,1380.0,234.0
26/04/24,1 unid,"Donats - Donats, 1 unid",226.0,25.0,13.0,4.0,0.0,0.0
26/04/24,40 gram,"Babat - Babat, 40 gram",45.0,0.0,17.0,70.0,0.0,0.0
26/04/24,200 gram,"Nasi - Nasi putih, 200 gram",300.0,80.0,1.0,6.0,0.0,0.0
26/04/24,30 gram,"mikako - ayam geprek, 30 gram",165.0,21.0,8.0,3.0,405.0,5.0
27/04/24,2 packet,"Indomie - Mi goreng instan, 2 packet",700.0,108.0,24.0,16.0,600.0,12.0
27/04/24,0.4 container,"Sederhana - Nasi Padang, 0.4 container",266.0,28.0,6.0,2.0,0.0,0.0
27/04/24,100 g,"Fatsecret - Ikan Tongkol Goreng, 100 g",200.0,2.0,11.0,21.0,0.0,0.0
27/04/24,200 gram,"Nasi - Nasi putih, 200 gram",300.0,80.0,1.0,6.0,0.0,0.0
27/04/24,100 gram,"Fatsecret - Opor Ayam, 100 gram",163.0,6.0,9.0,17.0,219.0,2.0
27/04/24,40 gr,"Orek tempe - Orek tempe, 40 gr",70.0,6.0,3.0,5.0,84.0,2.0
27/04/24,20 gram,"gogo - kentang goreng, 20 gram",22.0,0.0,0.0,0.0,0.0,0.0
28/04/24,200 gram,"Nasi - Nasi putih, 200 gram",300.0,80.0,1.0,6.0,0.0,0.0
28/04/24,200 gram,"Nasi - Nasi putih, 200 gram",300.0,80.0,1.0,6.0,0.0,0.0
28/04/24,26 gram,"mikako - ayam geprek, 26 gram",143.0,18.0,7.0,3.0,351.0,4.0
28/04/24,151.5 gram,"nasi - nasi, 151.5 gram",150.0,31.0,5.0,8.0,0.0,0.0
28/04/24,60 g,"Ayam Goreng - Ayam Goreng, 60 g - 1 ketul",135.0,0.0,0.0,0.0,0.0,0.0
28/04/24,0.2 Porsi,"Generic - Cah Toge / Toge Goreng, 0.2 Porsi (213 gr)",38.0,6.0,1.0,1.0,0.0,0.0
28/04/24,2 Nugget,"Burger King - Chicken Nugget (Single Nugget), 2 Nugget",90.0,6.0,5.0,5.0,156.0,0.0
28/04/24,20 gr,"Generic - Kerupuk Putih, Kerupuk Aci, 20 gr",70.0,17.0,0.0,0.0,0.0,0.0
29/04/24,202 gram,"nasi - nasi, 202 gram",200.0,41.0,6.0,10.0,0.0,0.0
29/04/24,1 porsi,"Fatsecret - Telur Balado, 1 porsi (70 g)",142.0,2.0,12.0,7.0,249.0,2.0
29/04/24,1 gelas,"Fatsecret - Sayur Sop, 1 gelas (240ml)",75.0,9.0,3.0,4.0,945.0,1.0
30/04/24,0.4 container,"Sederhana - Nasi Padang, 0.4 container",266.0,28.0,6.0,2.0,0.0,0.0
30/04/24,95 gram,"Ayam - Ayam Goreng Serundeng, 95 gram",220.0,62.0,135.0,184.0,0.0,0.0
30/04/24,1.5 piece,"sendowo roti - roti cream, 1.5 piece",315.0,42.0,14.0,5.0,105.0,18.0
30/04/24,0.4 container,"Sederhana - Nasi Padang, 0.4 container",266.0,28.0,6.0,2.0,0.0,0.0
30/04/24,1 Butir,"Generic - Telur Dadar, 1 Butir",154.0,1.0,9.0,11.0,155.0,0.0
01/05/24,1 Porsi,"Generic - Mie Pangsit Rebus, 1 Porsi (450 gr)",473.0,43.0,22.0,27.0,0.0,0.0
01/05/24,202 gram,"nasi - nasi, 202 gram",200.0,41.0,6.0,10.0,0.0,0.0
01/05/24,120 g,"Ayam Goreng - Ayam Goreng, 120 g - 1 ketul",270.0,0.0,0.0,0.0,0.0,0.0
01/05/24,55 gram,"Rumahan - Tahu Goreng, 55 gram (potongan besar)",38.0,4.0,2.0,3.0,0.0,0.0
01/05/24,20 gram,"Tempe Goreng - Tempe Goreng, 20 gram",45.0,2.0,3.0,4.0,55.0,0.0
01/05/24,100 gram,"Fatsecret - Nasi Bakar, 100 gram",281.0,25.0,13.0,14.0,169.0,0.0
